state,jurisdiction,clinton,trump,johnson,stein,other,totalvotes,,
WI,COLUMBIA,13526,14160,1092,347,264,29389,,
WI,CRAWFORD,3425,3844,277,73,82,7701,,
WI,DANE,217526,71279,10544,4314,1987,305650,,
WI,DODGE,13968,26643,1539,361,554,43065,,
WI,DOOR,8026,8584,558,145,143,17456,,
WI,DOUGLAS,11345,9659,723,337,165,22229,,
WI,DUNN,9026,11488,1094,294,189,22091,,
WI,EAU CLAIRE,27294,23311,2496,699,554,54354,,
WI,FLORENCE,666,1897,64,17,13,2657,,
WI,FOND DU LAC,17391,31044,1910,449,533,51327,,
WI,FOREST,1584,2788,80,37,24,4513,,
WI,GRANT,10046,12349,1159,308,237,24099,,
WI,GREEN,9122,8693,687,196,131,18829,,
WI,GREEN LAKE,2701,6213,274,75,91,9354,,
WI,IOWA,6669,4809,456,115,82,12131,,
WI,IRON,1273,2090,72,34,11,3480,,
WI,JACKSON,3821,4907,300,108,89,9225,,
WI,JEFFERSON,16561,23410,1660,462,493,42586,,
WI,JUNEAU,4073,7123,280,105,81,11662,,
WI,KENOSHA,35771,36025,2719,861,644,76020,,
WI,KEWAUNEE,3623,6616,348,79,92,10758,,
WI,LA CROSSE,32406,26389,2673,920,580,62968,,
WI,LAFAYETTE,3288,3977,238,49,66,7618,,
WI,LANGLADE,3260,6436,279,67,59,10101,,
WI,LINCOLN,5370,8400,596,114,84,14564,,
WI,MANITOWOC,14506,23193,1558,346,420,40023,,
WI,MARATHON,26477,39013,2330,641,523,68984,,
WI,MARINETTE,6243,12995,520,131,157,20046,,
WI,MARQUETTE,2809,4714,187,50,88,7848,,
WI,MENOMINEE,1003,269,0,7,0,1279,,
WI,MILWAUKEE,288797,125846,13590,4529,3136,435898,,
WI,MONROE,7048,11352,701,230,191,19522,,
WI,OCONTO,5884,13253,581,118,142,19978,,
WI,ONEIDA,8104,11677,751,191,170,20893,,
WI,OUTAGAMIE,38087,49884,3931,985,981,93868,,
