state,jurisdiction,clinton,trump,johnson,stein,other,totalvotes,,
CT,Granby,3114,2967,292,115,21,6509,,
CT,Greenwich,17630,12215,1050,271,43,31209,,
CT,Griswold,1934,3012,232,89,9,5276,,
CT,Groton,8453,5936,662,272,34,15357,,
CT,Guilford,7864,4929,338,159,33,13323,,
CT,Haddam,2141,2556,171,93,9,4970,,
CT,Hamden,18962,7790,549,348,46,27695,,
CT,Hampton,484,509,37,27,2,1059,,
CT,Hartford,30375,2531,356,401,4,33667,,
CT,Hartland,349,804,48,31,6,1238,,
CT,Harwinton,1131,2107,117,41,11,3407,,
CT,Hebron,2627,2555,206,82,16,5486,,
CT,Kent,1081,559,45,27,4,1716,,
CT,Killingly,2491,3916,326,141,14,6888,,
CT,Killingworth,1895,1943,119,55,3,4015,,
CT,Lebanon,1583,2115,174,66,10,3948,,
CT,Ledyard,3336,3471,350,116,27,7300,,
CT,Lisbon,868,1175,83,52,3,2181,,
CT,Litchfield,2171,2434,180,66,8,4859,,
CT,Lyme,1019,567,73,28,4,1691,,
CT,Madison,5935,4500,334,120,24,10913,,
CT,Manchester,15109,8358,864,469,38,24838,,
CT,Mansfield,8309,2433,429,280,30,11481,,
CT,Marlborough,1687,1766,128,46,12,3639,,
CT,Meriden,12788,8660,635,348,12,22443,,
CT,Middlebury,1664,2630,148,45,8,4495,,
CT,Middlefield,1154,1361,78,38,5,2636,,
CT,Middletown,12959,7126,639,485,35,21244,,
CT,Milford,13598,13383,791,349,30,28151,,
CT,Monroe,4520,5922,353,95,18,10908,,
CT,Montville,3340,4156,327,149,0,7972,,
CT,Morris,510,838,41,24,5,1418,,
CT,Naugatuck,5219,7310,440,199,14,13182,,
CT,New Britain,15468,6055,406,381,18,22328,,
CT,New Canaan,5767,4541,511,81,66,10966,,
CT,New Fairfield,3071,4302,204,94,6,7677,,
CT,New Hartford,1654,2243,146,77,2,4122,,
CT,New Haven,35933,4540,493,618,104,41688,,
CT,New London,6305,1924,217,237,4,8687,,
CT,New Millford,6136,6865,433,214,20,13668,,
CT,Newington,8425,6557,479,213,17,15691,,
CT,Newtown,7448,7154,505,204,48,15359,,
CT,Norfolk,547,373,20,26,1,967,,
CT,North Branford,2933,4473,175,68,5,7654,,
CT,North Canaan,732,703,52,22,0,1509,,
CT,North Haven,5837,7268,323,146,15,13589,,
CT,North Stonington,1289,1560,124,51,6,3030,,
CT,Norwalk,24414,12324,968,490,36,38232,,
CT,Norwich,7453,5217,511,282,13,13476,,
CT,Old Lyme,2498,1999,142,63,7,4709,,
CT,Old Saybrook,3207,2784,133,85,16,6225,,
CT,Orange,3834,4221,216,86,10,8367,,
CT,Oxford,2398,4685,178,64,18,7343,,
CT,Plainfield,2177,3512,300,123,8,6120,,
CT,Plainville,3802,4492,254,151,4,8703,,
CT,Plymouth,1884,3767,113,42,4,5810,,
CT,Pomfret,1084,1014,94,33,7,2232,,
CT,Portland,2494,2491,186,82,0,5253,,
CT,Preston,978,1377,97,52,10,2514,,
CT,Prospect,1661,3701,156,58,9,5585,,
CT,Putnam,1562,1845,161,83,6,3657,,
CT,Redding,3127,2088,185,73,14,5487,,
CT,Ridgefield,7907,5680,516,146,47,14296,,
CT,Rocky Hill,5090,4331,304,105,8,9838,,
CT,Roxbury,765,638,55,16,0,1474,,
CT,Salem,1029,1182,98,34,3,2346,,
CT,Salisbury,1671,545,73,38,4,2331,,
CT,Scotland,310,518,58,22,1,909,,
CT,Seymour,3024,4824,227,117,14,8206,,
CT,Sharon,820,521,50,25,0,1416,,
CT,Shelton,8001,12051,520,264,21,20857,,
CT,Sherman,976,1065,67,28,1,2137,,
CT,Simsbury,7825,5357,598,161,43,13984,,
CT,Somers,2125,3350,163,46,10,5694,,
CT,South Windsor,7721,5557,498,166,12,13954,,
CT,Southbury,5013,6100,347,103,17,11580,,
CT,Southington,9890,12383,743,275,27,23318,,
CT,Sprague,535,864,78,30,2,1509,,
CT,Stafford,2286,3344,296,106,2,6034,,
CT,Stamford,34148,16222,1184,627,77,52258,,
CT,Sterling,478,1102,67,37,0,1684,,
CT,Stonington,5635,4081,302,144,11,10173,,
CT,Stratford,13729,10534,570,368,50,25251,,
CT,Suffield,3334,3789,307,111,17,7558,,
CT,Thomaston,1152,2616,152,50,1,3971,,
CT,Thompson,1579,2646,216,66,1,4508,,
CT,Tolland,4020,3908,399,146,26,8499,,
CT,Torrington,5713,8673,515,214,16,15131,,
CT,Trumbull,9299,9753,495,224,75,19846,,
CT,Union,188,277,22,9,0,496,,
CT,Vernon,7084,5666,553,237,19,13559,,
CT,Voluntown,431,862,63,29,0,1385,,
CT,Wallingford,10651,10940,716,301,28,22636,,
CT,Warren,352,451,35,16,4,858,,
CT,Washington,1242,738,57,41,4,2082,,
CT,Waterbury,19870,12837,612,391,9,33719,,
CT,Waterford,5233,4861,368,189,32,10683,,
CT,Watertown,3732,7730,300,122,0,11884,,
CT,West Hartford,23781,8055,993,445,72,33346,,
CT,West Haven,12477,7774,422,287,9,20969,,
CT,Westbrook,1699,1936,100,55,2,3792,,
CT,Weston,3807,1633,208,58,6,5712,,
CT,Westport,10655,4169,472,124,24,15444,,
CT,Wethersfield,7734,5794,447,194,53,14222,,
CT,Willington,1414,1373,127,82,0,2996,,
CT,Wilton,6055,3786,411,111,28,10391,,
CT,Winchester,1816,2903,146,122,7,4994,,
CT,Windham,5375,2564,271,183,10,8403,,
CT,Windsor,11370,4013,385,231,17,16016,,
CT,Windsor Locks,2789,3022,232,97,6,6146,,
CT,Wolcott,2575,6192,235,85,5,9092,,
CT,Woodbridge,3333,1814,120,73,13,5353,,
CT,Woodbury,2466,3171,149,79,65,5930,,
CT,Woodstock,1945,2281,187,67,6,4486,,
DC,Ward 1,37490,1066,645,675,757,40633,,
DC,Ward 2,28714,2304,853,351,1075,33297,,
DC,Ward 3,36475,3323,994,522,1481,42795,,
DC,Ward 4,37962,1358,376,732,742,41170,,
DC,Ward 5,37021,1141,504,628,808,40102,,
DC,Ward 6,45540,2506,1187,605,2071,51909,,
DC,Ward 7,31784,547,186,420,505,33442,,
DC,Ward 8,27844,478,161,325,419,29227,,
DE,Kent,33351,36991,2876,1042,NA,74260,,
DE,New Castle,162919,85525,9107,3956,NA,261507,,
DE,Sussex,39333,62611,2774,1105,NA,105823,,
FL,Alachua,75820,46834,4059,1507,351,128571,,
FL,Baker,2112,10294,169,30,29,12634,,
FL,Bay,21797,62194,2652,562,248,87453,,
FL,Bradford,2924,8913,177,47,37,12098,,
FL,Brevard,119679,181848,9451,2708,1066,314752,,
FL,Broward,553320,260951,11078,5094,1508,831951,,
FL,Calhoun,1241,4655,124,25,36,6081,,
FL,Charlotte,33445,60218,1946,567,198,96374,,
FL,Citrus,22789,54456,1724,480,251,79700,,
FL,Clay,27822,74963,2806,571,321,106483,,
FL,Collier,61085,105423,3263,747,271,170789,,
FL,Columbia,7601,20368,523,150,65,28707,,
FL,Desoto,3781,6778,166,53,40,10818,,
FL,Dixie,1270,5822,77,21,12,7202,,
FL,Duval,205704,211672,11318,2912,1089,432695,,
FL,Escambia,57461,88808,4612,1055,533,152469,,
FL,Flagler,22026,33850,1114,388,125,57503,,
FL,Franklin,1744,4125,95,33,18,6015,,
FL,Gadsden,15020,6728,229,78,58,22113,,
FL,Gilchrist,1458,6740,155,43,24,8420,,
FL,Glades,1271,2996,54,18,14,4353,,
FL,Gulf,1720,5329,195,27,22,7293,,
FL,Hamilton,1904,3443,79,17,17,5460,,
FL,Hardee,2149,5242,140,24,28,7583,,
FL,Hendry,4615,6195,207,52,46,11115,,
FL,Hernando,31795,58970,2051,710,270,93796,,
FL,Highlands,14937,29565,854,186,144,45686,,
FL,Hillsborough,307896,266870,15703,5032,2159,597660,,
FL,Holmes,853,7483,133,19,26,8514,,
FL,Indian River,29043,48620,1723,419,204,80009,,
FL,Jackson,6397,14257,266,60,61,21041,,
FL,Jefferson,3541,3930,110,42,22,7645,,
FL,Lafayette,518,2809,47,10,8,3392,,
FL,Lake,62838,102188,3985,975,476,170462,,
FL,Lee,124908,191551,6982,2127,852,326420,,
FL,Leon,92068,53821,4403,1366,474,152132,,
FL,Levy,5101,13775,358,102,59,19395,,
FL,Liberty,651,2543,76,17,9,3296,,
FL,Madison,3526,4851,95,22,11,8505,,
FL,Manatee,71224,101944,4177,1149,464,178958,,
FL,Marion,62041,107833,3365,972,489,174700,,
FL,Martin,30185,53204,1804,474,125,85792,,
FL,Miami-Dade,624146,333999,13219,5985,2855,980204,,
FL,Monroe,18971,21904,1131,398,74,42478,,
FL,Nassau,10869,34266,1195,188,89,46607,,
FL,Okaloosa,23780,71893,4171,611,400,100855,,
FL,Okeechobee,3959,9356,234,53,51,13653,,
FL,Orange,329894,195216,14483,4777,1905,546275,,
FL,Osceola,85458,50301,2811,1003,633,140206,,
FL,Palm Beach,374673,272402,10370,3723,1164,662332,,
FL,Pasco,90142,142101,6129,1908,859,241139,,
FL,Pinellas,233701,239201,13627,4611,1263,492403,,
FL,Polk,117433,157430,6810,1647,994,284314,,
FL,Putnam,10094,22138,597,219,69,33117,,
FL,Santa Rosa,18464,65339,3123,524,295,87745,,
FL,Sarasota,97870,124438,4715,1596,444,229063,,
FL,Seminole,105914,109443,6811,1974,754,224896,,
FL,St. Johns,43099,88684,3612,864,255,136514,,
FL,St. Lucie,66881,70289,2475,867,335,140847,,
FL,Sumter,22638,52730,971,201,125,76665,,
FL,Suwannee,3964,14287,309,81,53,18694,,
FL,Taylor,2152,6930,151,33,24,9290,,
FL,Union,1014,4568,90,12,10,5694,,
FL,Volusia,109091,143007,6111,2003,657,260869,,
FL,Wakulla,4348,10512,378,66,47,15351,,
FL,Walton,6876,25756,783,142,80,33637,,
FL,Washington,2264,8637,192,22,41,11156,,
GA,Appling,1434,5494,77,NA,NA,7005,,
GA,Atkinson,697,1878,35,NA,NA,2610,,
GA,Bacon,608,3364,47,NA,NA,4019,,
GA,Baker,650,775,15,NA,NA,1440,,
GA,Baldwin,7970,7697,419,NA,NA,16086,,
GA,Banks,684,6134,132,NA,NA,6950,,
GA,Barrow,6580,21108,1143,NA,NA,28831,,
GA,Bartow,8212,29911,1183,NA,NA,39306,,
GA,Ben Hill,2101,3739,91,NA,NA,5931,,
GA,Berrien,1047,5422,115,NA,NA,6584,,
GA,Bibb,36787,24043,1447,NA,NA,62277,,
GA,Bleckley,1101,3719,123,NA,NA,4943,,
GA,Brantley,619,5567,106,NA,NA,6292,,
GA,Brooks,2528,3701,89,NA,NA,6318,,
GA,Bryan,4014,10529,542,NA,NA,15085,,
GA,Bulloch,9261,15097,890,NA,NA,25248,,
GA,Burke,4731,4491,129,NA,NA,9351,,
GA,Butts,2566,6717,194,NA,NA,9477,,
GA,Calhoun,1179,830,16,NA,NA,2025,,
GA,Camden,5930,12310,629,NA,NA,18869,,
GA,Candler,1026,2664,73,NA,NA,3763,,
GA,Carroll,12464,30029,1346,NA,NA,43839,,
GA,Catoosa,4771,20876,881,NA,NA,26528,,
GA,Charlton,1004,2951,54,NA,NA,4009,,
GA,Chatham,62290,45688,3503,NA,NA,111481,,
GA,Chattahoochee,594,751,45,NA,NA,1390,,
GA,Chattooga,1613,6462,177,NA,NA,8252,,
GA,Cherokee,25231,80649,5015,NA,NA,110895,,
GA,Clarke,29603,12717,2019,NA,NA,44339,,
GA,Clay,697,566,8,NA,NA,1271,,
GA,Clayton,78220,12645,1647,NA,NA,92512,,
GA,Clinch,686,1727,34,NA,NA,2447,,
GA,Cobb,160121,152912,14466,NA,NA,327499,,
GA,Coffee,4094,9588,233,NA,NA,13915,,
GA,Colquitt,3463,9898,240,NA,NA,13601,,
GA,Columbia,18887,43085,2270,NA,NA,64242,,
GA,Cook,1753,4176,112,NA,NA,6041,,
GA,Coweta,16583,42533,2235,NA,NA,61351,,
GA,Crawford,1421,3635,106,NA,NA,5162,,
GA,Crisp,2837,4549,126,NA,NA,7512,,
GA,Dade,965,5051,226,NA,NA,6242,,
GA,Dawson,1448,9900,356,NA,NA,11704,,
GA,Decatur,4124,6020,126,NA,NA,10270,,
GA,DeKalb,251370,51468,9666,NA,NA,312504,,
GA,Dodge,1839,5021,138,NA,NA,6998,,
GA,Dooly,1872,1951,36,NA,NA,3859,,
GA,Dougherty,23311,10232,475,NA,NA,34018,,
GA,Douglas,31005,24817,1594,NA,NA,57416,,
GA,Early,2168,2552,65,NA,NA,4785,,
GA,Echols,156,1007,13,NA,NA,1176,,
GA,Effingham,4853,17874,679,NA,NA,23406,,
GA,Elbert,2539,5292,139,NA,NA,7970,,
GA,Emanuel,2435,5335,75,NA,NA,7845,,
GA,Evans,1130,2404,68,NA,NA,3602,,
GA,Fannin,1923,9632,222,NA,NA,11777,,
GA,Fayette,23284,35048,2103,NA,NA,60435,,
GA,Floyd,9159,24114,1084,NA,NA,34357,,
GA,Forsyth,23462,69851,4091,NA,NA,97404,,
GA,Franklin,1243,7054,177,NA,NA,8474,,
GA,Fulton,297051,117783,15765,NA,NA,430599,,
GA,Gilmer,1965,10477,293,NA,NA,12735,,
GA,Glascock,138,1235,17,NA,NA,1390,,
GA,Glynn,11775,21512,825,NA,NA,34112,,
GA,Gordon,3181,15191,507,NA,NA,18879,,
GA,Grady,3013,6053,135,NA,NA,9201,,
GA,Greene,3199,5490,151,NA,NA,8840,,
GA,Gwinnett,166153,146989,12494,NA,NA,325636,,
GA,Habersham,2483,13190,461,NA,NA,16134,,
GA,Hall,16180,51733,2307,NA,NA,70220,,
GA,Hancock,2701,843,36,NA,NA,3580,,
GA,Haralson,1475,9585,264,NA,NA,11324,,
GA,Harris,4086,11936,379,NA,NA,16401,,
GA,Hart,2585,7286,209,NA,NA,10080,,
GA,Heard,743,3370,93,NA,NA,4206,,
GA,Henry,50057,45724,2505,NA,NA,98286,,
GA,Houston,22553,35430,1761,NA,NA,59744,,
GA,Irwin,891,2716,58,NA,NA,3665,,
GA,Jackson,4491,21784,834,NA,NA,27109,,
GA,Jasper,1544,4360,119,NA,NA,6023,,
GA,Jeff Davis,901,4104,86,NA,NA,5091,,
GA,Jefferson,3821,3063,70,NA,NA,6954,,
GA,Jenkins,1123,1895,34,NA,NA,3052,,
GA,Johnson,1136,2519,27,NA,NA,3682,,
GA,Jones,3961,8305,260,NA,NA,12526,,
GA,Lamar,2270,5190,126,NA,NA,7586,,
GA,Lanier,806,1984,73,NA,NA,2863,,
GA,Laurens,6752,12411,313,NA,NA,19476,,
GA,Lee,3170,10646,299,NA,NA,14115,,
GA,Liberty,9556,6134,427,NA,NA,16117,,
GA,Lincoln,1273,2759,70,NA,NA,4102,,
GA,Long,1360,2626,131,NA,NA,4117,,
GA,Lowndes,15064,21635,929,NA,NA,37628,,
GA,Lumpkin,2220,9619,495,NA,NA,12334,,
GA,Macon,2705,1540,42,NA,NA,4287,,
GA,Madison,2425,9201,328,NA,NA,11954,,
GA,Marion,1213,1921,49,NA,NA,3183,,
GA,McDuffie,3699,5432,137,NA,NA,9268,,
GA,McIntosh,2303,3487,113,NA,NA,5903,,
GA,Meriwether,3804,5222,165,NA,NA,9191,,
GA,Miller,623,1891,30,NA,NA,2544,,
GA,Mitchell,3493,4279,93,NA,NA,7865,,
GA,Monroe,3571,8832,284,NA,NA,12687,,
GA,Montgomery,847,2670,45,NA,NA,3562,,
GA,Morgan,2663,6559,218,NA,NA,9440,,
GA,Murray,1800,10341,283,NA,NA,12424,,
GA,Muscogee,39851,26976,1831,NA,NA,68658,,
GA,Newton,21943,20913,947,NA,NA,43803,,
GA,Oconee,5581,13425,925,NA,NA,19931,,
GA,Oglethorpe,1831,4625,199,NA,NA,6655,,
GA,Paulding,18025,44662,1954,NA,NA,64641,,
GA,Peach,5100,5413,211,NA,NA,10724,,
GA,Pickens,1979,11651,354,NA,NA,13984,,
GA,Pierce,903,6302,93,NA,NA,7298,,
GA,Pike,1240,7278,163,NA,NA,8681,,
GA,Polk,2867,11014,289,NA,NA,14170,,
GA,Pulaski,1104,2437,58,NA,NA,3599,,
GA,Putnam,2758,6544,170,NA,NA,9472,,
GA,Quitman,461,575,8,NA,NA,1044,,
GA,Rabun,1444,6287,219,NA,NA,7950,,
GA,Randolph,1598,1271,28,NA,NA,2897,,
GA,Richmond,48814,24461,1811,NA,NA,75086,,
GA,Rockdale,23255,13478,923,NA,NA,37656,,
GA,Schley,401,1472,36,NA,NA,1909,,
GA,Screven,2300,3305,94,NA,NA,5699,,
GA,Seminole,1189,2345,48,NA,NA,3582,,
GA,Spalding,9357,15646,597,NA,NA,25600,,
GA,Stephens,1837,7686,243,NA,NA,9766,,
GA,Stewart,1222,805,28,NA,NA,2055,,
GA,Sumter,5520,5276,178,NA,NA,10974,,
GA,Talbot,2002,1196,46,NA,NA,3244,,
GA,Taliaferro,545,349,3,NA,NA,897,,
GA,Tattnall,1681,5096,109,NA,NA,6886,,
GA,Taylor,1296,2064,45,NA,NA,3405,,
GA,Telfair,1313,2450,32,NA,NA,3795,,
GA,Terrell,2267,1874,40,NA,NA,4181,,
GA,Thomas,7142,11228,368,NA,NA,18738,,
GA,Tift,4347,9584,244,NA,NA,14175,,
GA,Toombs,2338,6615,158,NA,NA,9111,,
GA,Towns,1210,5383,146,NA,NA,6739,,
GA,Treutlen,862,1809,32,NA,NA,2703,,
GA,Troup,9713,15750,561,NA,NA,26024,,
GA,Turner,1246,2095,53,NA,NA,3394,,
GA,Twiggs,1971,2035,50,NA,NA,4056,,
GA,Union,1963,9852,229,NA,NA,12044,,
GA,Upson,3475,7292,167,NA,NA,10934,,
GA,Walker,4215,18950,791,NA,NA,23956,,
GA,Walton,8292,31125,1055,NA,NA,40472,,
GA,Ware,3440,8513,206,NA,NA,12159,,
GA,Warren,1314,991,28,NA,NA,2333,,
GA,Washington,4200,4149,98,NA,NA,8447,,
GA,Wayne,2041,8153,192,NA,NA,10386,,
GA,Webster,473,630,13,NA,NA,1116,,
GA,Wheeler,646,1421,35,NA,NA,2102,,
GA,White,1674,9761,348,NA,NA,11783,,
GA,Whitfield,7937,21537,924,NA,NA,30398,,
GA,Wilcox,852,2096,25,NA,NA,2973,,
GA,Wilkes,1848,2572,57,NA,NA,4477,,
GA,Wilkinson,1894,2333,51,NA,NA,4278,,
GA,Worth,2020,6152,108,NA,NA,8280,,
HI,City and County of Honolulu,175696,90326,10467,6476,2825,285790,,
HI,County of Hawaii,41259,17501,2470,2852,785,64867,,
HI,County of Kauai,16456,7574,982,1019,304,26335,,
HI,County of Maui,33480,13446,2035,2390,594,51945,,
IA,Adair,1133,2461,127,14,113,3848,,
IA,Adams,565,1395,93,9,69,2131,,
IA,Allamakee,2421,4093,227,46,248,7035,,
IA,Appanoose,1814,4033,139,42,168,6196,,
IA,Audubon,1080,2136,107,24,139,3486,,
IA,Benton,4678,8232,542,86,433,13971,,
IA,Black Hawk,32233,27476,2368,610,2320,65007,,
IA,Boone,5541,7484,643,104,538,14310,,
IA,Bremer,5356,7208,543,81,503,13691,,
IA,Buchanan,3970,5510,478,54,365,10377,,
IA,Buena Vista,2856,4903,288,48,286,8381,,
IA,Butler,2157,4921,219,43,243,7583,,
IA,Calhoun,1398,3468,173,18,161,5218,,
IA,Carroll,3309,6638,318,61,356,10682,,
IA,Cass,1951,4761,206,52,228,7198,,
IA,Cedar,3599,5295,365,70,302,9631,,
IA,Cerro Gordo,9862,11621,851,130,673,23137,,
IA,Cherokee,1679,4192,206,29,209,6315,,
IA,Chickasaw,2266,3742,236,48,226,6518,,
IA,Clarke,1465,2713,160,18,153,4509,,
IA,Clay,2249,5877,288,35,257,8706,,
IA,Clayton,3237,5317,334,51,278,9217,,
IA,Clinton,10095,11276,825,184,967,23347,,
IA,Crawford,1991,4617,172,33,224,7037,,
IA,Dallas,15701,19339,1757,181,1610,38588,,
IA,Davis,977,2723,85,25,133,3943,,
IA,Decatur,1201,2296,123,29,135,3784,,
IA,Delaware,2957,5694,337,40,311,9339,,
IA,Des Moines,8212,9529,635,134,761,19271,,
IA,Dickinson,3056,6753,292,54,302,10457,,
IA,Dubuque,22850,23460,2013,379,1519,50221,,
IA,Emmet,1357,3124,139,26,164,4810,,
IA,Fayette,3689,5620,328,62,399,10098,,
IA,Floyd,3179,4375,241,60,304,8159,,
IA,Franklin,1493,3163,188,31,171,5046,,
IA,Fremont,963,2407,115,21,127,3633,,
IA,Greene,1691,2820,160,31,174,4876,,
IA,Grundy,1856,4527,233,38,290,6944,,
IA,Guthrie,1732,3628,258,19,179,5816,,
IA,Hamilton,2726,4463,259,31,306,7785,,
IA,Hancock,1587,3977,166,24,179,5933,,
IA,Hardin,2787,5254,298,28,272,8639,,
IA,Harrison,2131,4902,210,50,259,7552,,
IA,Henry,2904,5779,337,113,367,9500,,
IA,Howard,1677,2611,131,38,183,4640,,
IA,Humboldt,1252,3568,127,20,174,5141,,
IA,Ida,792,2655,103,9,89,3648,,
IA,Iowa,3084,5205,317,61,335,9002,,
IA,Jackson,3837,5824,319,85,439,10504,,
IA,Jasper,7109,10560,715,95,747,19226,,
IA,Jefferson,3710,3748,246,256,325,8285,,
IA,Johnson,50200,21044,2758,878,2596,77476,,
IA,Jones,3787,5720,305,62,362,10236,,
IA,Keokuk,1342,3390,139,28,136,5035,,
IA,Kossuth,2543,5653,194,33,319,8742,,
IA,Lee,6215,8803,510,145,674,16347,,
IA,Linn,58935,48390,5557,1005,4229,118116,,
IA,Louisa,1648,3069,136,28,195,5076,,
IA,Lucas,1239,2877,115,28,133,4392,,
IA,Lyon,920,5192,137,18,164,6431,,
IA,Madison,2678,5360,347,41,280,8706,,
IA,Mahaska,2619,7432,318,38,316,10723,,
IA,Marion,5482,10962,706,73,768,17991,,
IA,Marshall,7652,9146,577,117,683,18175,,
IA,Mills,2090,5067,307,56,252,7772,,
IA,Mitchell,1888,3190,210,28,205,5521,,
IA,Monona,1247,3120,112,22,128,4629,,
IA,Monroe,1056,2638,104,13,96,3907,,
IA,Montgomery,1314,3436,152,38,162,5102,,
IA,Muscatine,8368,9584,748,183,740,19623,,
IA,O'Brien,1315,5752,197,28,168,7460,,
IA,Osceola,552,2531,73,10,85,3251,,
IA,Page,1807,4893,176,37,208,7121,,
IA,Palo Alto,1398,3081,131,20,130,4760,,
IA,Plymouth,2885,9680,343,52,314,13274,,
IA,Pocahontas,963,2702,115,14,124,3918,,
IA,Polk,119804,93492,10029,1737,8323,233385,,
IA,Pottawattamif,15355,24447,1469,327,1460,43058,,
IA,Poweshiek,4304,4946,283,73,310,9916,,
IA,Ringgold,753,1824,72,8,95,2752,,
IA,Sac,1270,3703,129,23,132,5257,,
IA,Scott,40440,39149,3555,784,3358,87286,,
IA,Shelby,1662,4362,174,28,222,6448,,
IA,Sioux,2300,14785,435,53,759,18332,,
IA,Story,25709,19458,3014,491,2302,50974,,
IA,Tama,3196,4971,245,79,375,8866,,
IA,Taylor,758,2111,97,10,89,3065,,
IA,Union,1922,3525,213,52,173,5885,,
IA,Van Buren,845,2527,83,19,121,3595,,
IA,Wapello,5594,8715,380,122,466,15277,,
IA,Warren,10411,14814,1275,123,884,27507,,
IA,Washington,3943,6173,459,79,438,11092,,
IA,Wayne,719,2069,78,17,106,2989,,
IA,Webster,6305,10056,569,113,550,17593,,
IA,Winnebago,1931,3447,218,34,234,5864,,
IA,Winneshiek,5254,5344,382,99,432,11511,,
IA,Woodbury,16210,24727,1179,324,1727,44167,,
IA,Worth,1530,2453,165,24,133,4305,,
IA,Wright,1896,3800,176,35,185,6092,,
ID,Ada,75677,93752,9984,3138,13118,195669,,
ID,Adams,415,1556,83,19,110,2183,,
ID,Bannock,10342,17180,1471,518,3905,33416,,
ID,Bear Lake,255,2203,54,11,405,2928,,
ID,Benewah,770,3103,151,42,119,4185,,
ID,Bingham,2924,10907,417,124,2253,16625,,
ID,Blaine,6416,3340,424,176,368,10724,,
ID,Boise,777,2673,173,35,156,3814,,
ID,Bonner,5819,13343,762,396,623,20943,,
ID,Bonneville,8930,26699,1634,399,6559,44221,,
ID,Boundary,933,3789,161,80,200,5163,,
ID,Butte,160,914,25,7,124,1230,,
ID,Camas,110,410,23,6,41,590,,
ID,Canyon,16883,47222,2778,797,5105,72785,,
ID,Caribou,271,2275,64,15,410,3035,,
ID,Cassia,1036,5949,202,37,954,8178,,
ID,Clark,44,203,4,1,31,283,,
ID,Clearwater,704,2852,97,38,110,3801,,
ID,Custer,427,1777,67,30,113,2414,,
ID,Elmore,1814,5816,332,77,483,8522,,
ID,Franklin,385,3901,117,30,1066,5499,,
ID,Fremont,651,4090,127,20,827,5715,,
ID,Gem,1229,5980,241,57,447,7954,,
ID,Gooding,930,3743,110,30,378,5191,,
ID,Idaho,1196,6441,254,52,290,8233,,
ID,Jefferson,976,8436,274,55,1734,11475,,
ID,Jerome,1329,4644,218,52,508,6751,,
ID,Kootenai,16264,44449,2604,744,2249,66310,,
ID,Latah,8093,7265,1197,463,1155,18173,,
ID,Lemhi,733,3011,138,31,183,4096,,
ID,Lewis,270,1202,62,13,43,1590,,
ID,Lincoln,360,1184,54,18,132,1748,,
ID,Madison,1201,8941,612,69,4865,15688,,
ID,Minidoka,1167,4887,207,41,569,6871,,
ID,Nez Perce,4828,10699,879,203,592,17201,,
ID,Oneida,184,1531,37,3,313,2068,,
ID,Owyhee,591,3052,108,26,148,3925,,
ID,Payette,1507,6489,247,59,402,8704,,
ID,Power,699,1666,92,26,275,2758,,
ID,Shoshone,1384,3297,219,54,166,5120,,
ID,Teton,2159,2167,184,99,367,4976,,
ID,Twin Falls,6233,19828,1076,326,2411,29874,,
ID,Valley,1913,2906,230,53,247,5349,,
ID,Washington,776,3283,138,26,232,4455,,
IL,ADAMS,7680,22790,1168,249,60,31947,,
IL,ALEXANDER,1262,1496,48,14,0,2820,,
IL,BOND,2071,4889,447,67,36,7510,,
IL,BOONE,8998,12282,1068,330,51,22729,,
IL,BROWN,476,1796,77,10,0,2359,,
IL,BUREAU,6033,9287,842,197,30,16389,,
IL,CALHOUN,739,1721,72,26,3,2561,,
IL,CARROLL,2452,4434,395,98,14,7393,,
IL,CASS,1624,3216,172,51,12,5075,,
IL,CHAMPAIGN,50162,33371,4566,1847,623,90569,,
IL,CHRISTIAN,3993,10543,662,149,17,15364,,
IL,CLARK,1882,5622,277,49,11,7841,,
IL,CLAY,1024,5021,209,48,12,6314,,
IL,CLINTON,3948,12412,813,125,29,17327,,
IL,COLES,7312,13003,1025,287,52,21679,,
IL,COOK,1611946,453287,58678,32484,2220,2158615,,
IL,CRAWFORD,1992,6277,324,68,11,8672,,
IL,CUMBERLAND,1031,4206,238,47,4,5526,,
IL,DEKALB,20466,19091,2482,751,213,43003,,
IL,DEWITT,1910,5077,431,61,13,7492,,
IL,DOUGLAS,1949,5698,362,90,26,8125,,
IL,DUPAGE,228622,166415,20357,6367,1905,423666,,
IL,EDGAR,1793,5645,328,49,26,7841,,
IL,EDWARDS,434,2778,91,12,9,3324,,
IL,EFFINGHAM,3083,13635,644,100,52,17514,,
IL,FAYETTE,1819,7372,283,57,21,9552,,
IL,FORD,1414,4480,323,87,34,6338,,
IL,FRANKLIN,4727,13116,541,183,0,18567,,
IL,FULTON,6133,8492,780,239,7,15651,,
IL,GALLATIN,657,1942,73,20,7,2699,,
IL,GREENE,1205,4145,164,39,6,5559,,
IL,GRUNDY,8065,13454,1140,323,40,23022,,
IL,HAMILTON,802,3206,114,24,10,4156,,
IL,HANCOCK,2139,6430,348,64,68,9049,,
IL,HARDIN,420,1653,46,18,0,2137,,
IL,HENDERSON,1155,2155,158,19,2,3489,,
IL,HENRY,8871,13985,1243,200,66,24365,,
IL,IROQUOIS,2504,9750,554,150,38,12996,,
IL,JACKSON,11634,10843,1081,649,61,24268,,
IL,JASPER,924,3975,181,26,6,5112,,
IL,JEFFERSON,4425,11695,573,158,25,16876,,
